DROP DATABASE
CREATE DATABASE
You are now connected to database "topmodelsql" as user "ian".
CREATE TABLE
INSERT 0 214
CREATE TABLE
INSERT 0 228
 split_model_id |      model_name      |    area     | price_per_event |  category   |   agent   |       brand       |                trait                 | rating |  next_event_date  | revenue 
----------------+----------------------+-------------+-----------------+-------------+-----------+-------------------+--------------------------------------+--------+-------------------+---------
              1 | Bartholomew P        | Milan       |          499.99 | Fashion     | Verity    | Louboutin         | Pro strutter                         |      7 | 15 November 2022  | 2999.94
              2 | Bartholomew P        | Milan       |          499.99 | Fashion     | Verity    | H&M               | Pro strutter                         |      7 | 15 November 2022  | 2999.94
              3 | Notso Neat           | Online      |            9.99 | Promotional | Alex      | Aldi              | The dadbod drop                      |      1 | 12 September 2022 |  149.85
              4 | Notso Neat           | Online      |            9.99 | Promotional | Alex      | Poundland         | The dadbod drop                      |      1 | 12 September 2022 |  149.85
              5 | Jarred MacKenzie     | Los Angeles |             170 | Fitness     | Paul      | Patagonia         | Fire_eating                          |      4 | 8 January 2022    |    1530
              6 | Jarred MacKenzie     | Los Angeles |             170 | Fitness     | Paul      | Buff              | Fire_eating                          |      4 | 8 January 2022    |    1530
              7 | Jarred MacKenzie     | Los Angeles |             170 | Fitness     | Paul      | Salomon           | Fire_eating                          |      4 | 8 January 2022    |    1530
              8 | Rathbones Arr        | London      |          263.82 | Parts       | Kev       | Adidas            | Hand modelling                       |      5 | 6 March 2022      | 1846.74
              9 | Sarah B              | Online      |          432.25 | Promotional | Alex      | Ebay              | Influencer                           |      7 | 23 October 2022   |    3458
             10 | Sarah B              | Online      |          432.25 | Promotional | Alex      | Vinted            | Influencer                           |      7 | 23 October 2022   |    3458
             11 | Sarah B              | Online      |          432.25 | Promotional | Alex      | Instagram         | Influencer                           |      7 | 23 October 2022   |    3458
             12 | Cat Wang             | Milan       |             600 | Fashion     | Verity    | Charities         | Catwalker                            |      8 | 14 May 2022       |    3600
             13 | Starr Schema         | Crewe       |             250 | Glamour     | Rose      | Oricle            | Databases                            |      5 | 12 September 2022 |    1500
             14 | Starr Schema         | Crewe       |             250 | Glamour     | Rose      | Marks and Spencer | Databases                            |      5 | 12 September 2022 |    1500
             15 | Sam Pagne            | Athens      |          899.99 | Swimsuit    | Katherine | Harrods           | Old-money                            |      9 | 20 January 2022   | 9899.89
             16 | Sam Pagne            | Athens      |          899.99 | Swimsuit    | Katherine | HSBC              | Old-money                            |      9 | 20 January 2022   | 9899.89
             17 | Salle De Bain        | Stockholm   |             150 | Commercial  | Christian | Ikea              | Architect                            |      3 | 16 July 2022      |    1050
             18 | Salle De Bain        | Stockholm   |             150 | Commercial  | Christian | Wayfair           | Architect                            |      3 | 16 July 2022      |    1050
             19 | Salle De Bain        | Stockholm   |             150 | Commercial  | Christian | Amazon            | Architect                            |      3 | 16 July 2022      |    1050
             20 | Slam Dunk            | Los Angeles |          801.65 | Fitness     | Paul      | Nike              | High-tops                            |      9 | 23 August 2022    | 7214.85
             21 | Slam Dunk            | Los Angeles |          801.65 | Fitness     | Paul      | Adidas            | High-tops                            |      9 | 23 August 2022    | 7214.85
             22 | Slam Dunk            | Los Angeles |          801.65 | Fitness     | Paul      | Reebok            | High-tops                            |      9 | 23 August 2022    | 7214.85
             23 | Hannah Bee           | Milan       |             325 | Fashion     | Verity    | Chanel            | Photography                          |      6 | 1 March 2022      |    1625
             24 | Hannah Bee           | Milan       |             325 | Fashion     | Verity    | Dior              | Photography                          |      6 | 1 March 2022      |    1625
             25 | Hannah Bee           | Milan       |             325 | Fashion     | Verity    | Stella McCartney  | Photography                          |      6 | 1 March 2022      |    1625
             26 | Rainsface W          | Athens      |             120 | Swimsuit    | Katherine | United Utilities  | Impromptu crying                     |      3 | 14 May 2022       |     480
             27 | Raul Pogerson        | Stockholm   |              50 | Commercial  | Christian | Listo Burritos    | Messy eating                         |      2 | 12 September 2022 |     950
             28 | Ray Z                | London      |          470.68 | Parts       | Kev       | Marvel Studios    | Card magic                           |      7 | 18 April 2022     | 5177.48
             29 | Pat Munns            | Online      |          737.96 | Fashion     | Verity    | Versace           | Super Slow Motion                    |      9 | 07 May 2022       | 2530.35
             30 | Kasper Topling       | Los Angeles |          905.77 | Commercial  | Kev       | Ikea              | Invisible Burping                    |      8 | 25 September 2022 | 5981.72
             31 | Ulrika MacGarvey     | London      |          142.15 | Parts       | Christian | Patagonia         | Telepathic Yawn                      |      5 | 25 April 2022     | 7012.22
             32 | Gerrard Scorthorne   | Athens      |          377.39 | Parts       | Katherine | Salomon           | handstands                           |      4 | 09 March 2024     | 8900.56
             33 | Haskel McKinless     | Online      |          146.77 | Parts       | Verity    | Amazon            | Incredible Juggling Skills           |      2 | 10 October 2022   | 8915.73
             34 | Gwenni Dubarry       | Los Angeles |            73.5 | Promotional | Paul      | Versace           | Incredible Nose Hair Growth          |     10 | 30 August 2022    | 7029.15
             35 | Booth Innocenti      | Athens      |           622.6 | Parts       | Verity    | Valentino         | Incredible Juggling Skills           |     10 | 09 March 2022     | 6664.83
             36 | Bess Wildman         | Athens      |          105.66 | Parts       | Paul      | HSBC              | Superhuman Lip Syncing               |      1 | 25 June 2023      | 7338.05
             37 | Miles Newgrosh       | Milan       |          968.73 | Glamour     | Rose      | Marks and Spencer | Extreme Paper Cut                    |      3 | 30 June 2025      | 3676.74
             38 | Lynea Van den Bosch  | London      |          800.24 | Promotional | Paul      | Gucci             | Super Slow Motion                    |      6 | 28 May 2024       | 5921.78
             39 | Melantha Trowell     | Stockholm   |          677.72 | Fitness     | Christian | Oricle            | Unlimited Laughter Generation        |      2 | 02 August 2022    | 5420.18
             40 | Laryssa Gowthrop     | Online      |          525.18 | Glamour     | Verity    | Marks and Spencer | Mind Reading Comedy                  |      1 | 11 April 2024     | 8164.88
             41 | Wolfgang Oxshott     | London      |          346.91 | Parts       | Rose      | Givenchy          | fall asleep anywhere                 |      9 | 11 April 2024     | 3103.04
             42 | Alejandrina Bambrugh | London      |          577.21 | Fitness     | Katherine | Instagram         | finding loose change                 |      3 | 21 February 2022  | 6168.83
             43 | Zenia Faich          | Milan       |             444 | Promotional | Paul      | Marks and Spencer | Incredible Juggling Skills           |      3 | 26 February 2025  |  8640.6
             44 | Ashlie Seater        | Stockholm   |          625.87 | Swimsuit    | Verity    | Harrods           | Infinite Clumsiness                  |      8 | 02 October 2023   | 7123.58
             45 | Jean Laval           | London      |          684.13 | Fitness     | Christian | HSBC              | Unlimited Dance Moves                |      8 | 13 January 2025   | 9272.94
             46 | Tally Durrad         | Los Angeles |          648.85 | Fashion     | Paul      | Chanel            | Infinite Clumsiness                  |      7 | 19 October 2023   | 7242.38
             47 | Amie Pepler          | Online      |          823.67 | Fashion     | Paul      | Charities         | Turn Anything into a Dad Joke        |      7 | 14 August 2024    | 6640.76
             48 | Selene Fowle         | Crewe       |          897.98 | Commercial  | Verity    | Poundland         | Invisible Sneeze                     |      0 | 02 June 2022      | 5694.69
             49 | Raimondo Causby      | Los Angeles |          860.55 | Swimsuit    | Paul      | Chanel            | Superhuman Hiccup Control            |      5 | 17 August 2023    | 1266.66
             50 | Gilberta Leavey      | Online      |          150.69 | Glamour     | Paul      | Fendi             | Unlimited Dance Moves                |      6 | 23 March 2025     |  7227.5
             51 | Sergio Haversum      | Crewe       |          773.96 | Swimsuit    | Alex      | Chanel            | double jointed thumbs                |      8 | 03 November 2023  |  9123.7
             52 | Aridatha Ianinotti   | Online      |          822.21 | Parts       | Christian | Instagram         | Infinite Dad Jokes                   |      5 | 15 February 2022  | 8266.27
