DROP DATABASE
CREATE DATABASE
You are now connected to database "topmodelsql" as user "ian".
CREATE TABLE
INSERT 0 214
CREATE TABLE
INSERT 0 228
 model_id |      model_name      |    area     | price_per_event |  category   |   agent   |                trait                 | rating |  next_event_date  | revenue 
----------+----------------------+-------------+-----------------+-------------+-----------+--------------------------------------+--------+-------------------+---------
        1 | Bartholomew P        | Milan       |          499.99 | Fashion     | Verity    | Pro strutter                         |      7 | 15 November 2022  | 2999.94
        2 | Notso Neat           | Online      |            9.99 | Promotional | Alex      | The dadbod drop                      |      1 | 12 September 2022 |  149.85
        3 | Jarred MacKenzie     | Los Angeles |             170 | Fitness     | Paul      | Fire_eating                          |      4 | 8 January 2022    |    1530
        4 | Rathbones Arr        | London      |          263.82 | Parts       | Kev       | Hand modelling                       |      5 | 6 March 2022      | 1846.74
        5 | Sarah B              | Online      |          432.25 | Promotional | Alex      | Influencer                           |      7 | 23 October 2022   |    3458
        6 | Cat Wang             | Milan       |             600 | Fashion     | Verity    | Catwalker                            |      8 | 14 May 2022       |    3600
        7 | Starr Schema         | Crewe       |             250 | Glamour     | Rose      | Databases                            |      5 | 12 September 2022 |    1500
        8 | Sam Pagne            | Athens      |          899.99 | Swimsuit    | Katherine | Old-money                            |      9 | 20 January 2022   | 9899.89
        9 | Salle De Bain        | Stockholm   |             150 | Commercial  | Christian | Architect                            |      3 | 16 July 2022      |    1050
       10 | Slam Dunk            | Los Angeles |          801.65 | Fitness     | Paul      | High-tops                            |      9 | 23 August 2022    | 7214.85
       11 | Hannah Bee           | Milan       |             325 | Fashion     | Verity    | Photography                          |      6 | 1 March 2022      |    1625
       12 | Rainsface W          | Athens      |             120 | Swimsuit    | Katherine | Impromptu crying                     |      3 | 14 May 2022       |     480
       13 | Raul Pogerson        | Stockholm   |              50 | Commercial  | Christian | Messy eating                         |      2 | 12 September 2022 |     950
       14 | Ray Z                | London      |          470.68 | Parts       | Kev       | Card magic                           |      7 | 18 April 2022     | 5177.48
       15 | Pat Munns            | Online      |          737.96 | Fashion     | Verity    | Super Slow Motion                    |      9 | 07 May 2022       | 2530.35
       16 | Kasper Topling       | Los Angeles |          905.77 | Commercial  | Kev       | Invisible Burping                    |      8 | 25 September 2022 | 5981.72
       17 | Ulrika MacGarvey     | London      |          142.15 | Parts       | Christian | Telepathic Yawn                      |      5 | 25 April 2022     | 7012.22
       18 | Gerrard Scorthorne   | Athens      |          377.39 | Parts       | Katherine | handstands                           |      4 | 09 March 2024     | 8900.56
       19 | Haskel McKinless     | Online      |          146.77 | Parts       | Verity    | Incredible Juggling Skills           |      2 | 10 October 2022   | 8915.73
       20 | Gwenni Dubarry       | Los Angeles |            73.5 | Promotional | Paul      | Incredible Nose Hair Growth          |     10 | 30 August 2022    | 7029.15
       21 | Booth Innocenti      | Athens      |           622.6 | Parts       | Verity    | Incredible Juggling Skills           |     10 | 09 March 2022     | 6664.83
       22 | Bess Wildman         | Athens      |          105.66 | Parts       | Paul      | Superhuman Lip Syncing               |      1 | 25 June 2023      | 7338.05
       23 | Miles Newgrosh       | Milan       |          968.73 | Glamour     | Rose      | Extreme Paper Cut                    |      3 | 30 June 2025      | 3676.74
       24 | Lynea Van den Bosch  | London      |          800.24 | Promotional | Paul      | Super Slow Motion                    |      6 | 28 May 2024       | 5921.78
       25 | Melantha Trowell     | Stockholm   |          677.72 | Fitness     | Christian | Unlimited Laughter Generation        |      2 | 02 August 2022    | 5420.18
       26 | Laryssa Gowthrop     | Online      |          525.18 | Glamour     | Verity    | Mind Reading Comedy                  |      1 | 11 April 2024     | 8164.88
       27 | Wolfgang Oxshott     | London      |          346.91 | Parts       | Rose      | fall asleep anywhere                 |      9 | 11 April 2024     | 3103.04
       28 | Alejandrina Bambrugh | London      |          577.21 | Fitness     | Katherine | finding loose change                 |      3 | 21 February 2022  | 6168.83
       29 | Zenia Faich          | Milan       |             444 | Promotional | Paul      | Incredible Juggling Skills           |      3 | 26 February 2025  |  8640.6
       30 | Ashlie Seater        | Stockholm   |          625.87 | Swimsuit    | Verity    | Infinite Clumsiness                  |      8 | 02 October 2023   | 7123.58
       31 | Jean Laval           | London      |          684.13 | Fitness     | Christian | Unlimited Dance Moves                |      8 | 13 January 2025   | 9272.94
       32 | Tally Durrad         | Los Angeles |          648.85 | Fashion     | Paul      | Infinite Clumsiness                  |      7 | 19 October 2023   | 7242.38
       33 | Amie Pepler          | Online      |          823.67 | Fashion     | Paul      | Turn Anything into a Dad Joke        |      7 | 14 August 2024    | 6640.76
       34 | Selene Fowle         | Crewe       |          897.98 | Commercial  | Verity    | Invisible Sneeze                     |      0 | 02 June 2022      | 5694.69
       35 | Raimondo Causby      | Los Angeles |          860.55 | Swimsuit    | Paul      | Superhuman Hiccup Control            |      5 | 17 August 2023    | 1266.66
       36 | Gilberta Leavey      | Online      |          150.69 | Glamour     | Paul      | Unlimited Dance Moves                |      6 | 23 March 2025     |  7227.5
       37 | Sergio Haversum      | Crewe       |          773.96 | Swimsuit    | Alex      | double jointed thumbs                |      8 | 03 November 2023  |  9123.7
       38 | Aridatha Ianinotti   | Online      |          822.21 | Parts       | Christian | Infinite Dad Jokes                   |      5 | 15 February 2022  | 8266.27
       39 | Jervis Mathey        | Los Angeles |          969.88 | Parts       | Paul      | Instantaneous Spoon Bending          |      4 | 28 December 2024  |    8553
       40 | Toinette Machon      | Crewe       |          953.21 | Commercial  | Alex      | finding loose change                 |      4 | 22 June 2024      | 7406.08
       41 | Carrie Gerling       | London      |          358.29 | Commercial  | Katherine | double jointed thumbs                |      7 | 14 February 2022  |    5109
       42 | Ninetta Pettwood     | Milan       |          546.79 | Swimsuit    | Katherine | Instantaneous Spoon Bending          |      5 | 14 March 2022     | 8407.88
       43 | Scot Connow          | Los Angeles |          143.37 | Commercial  | Christian | Superhuman Lip Syncing               |      7 | 11 March 2022     | 2910.15
       44 | Zandra Siggs         | Milan       |          274.27 | Promotional | Christian | Super Sticky Fingers                 |      3 | 25 December 2025  | 2010.34
       45 | Carmon Orfeur        | Los Angeles |          691.41 | Fitness     | Christian | Infinite Clumsiness                  |      8 | 26 May 2024       | 7510.91
       46 | Meyer Potapczuk      | Athens      |          692.23 | Fashion     | Rose      | Unlimited Laughter Generation        |      6 | 15 September 2025 | 2827.29
       47 | Melisandra Achurch   | Stockholm   |           20.99 | Fashion     | Christian | Super Ticklish Fingers               |      5 | 04 March 2024     | 9410.09
       48 | Hervey Fadell        | Online      |          104.36 | Glamour     | Kev       | forgetting birthdays                 |      2 | 08 April 2025     | 2261.26
       49 | Daron Humpage        | Stockholm   |          412.53 | Swimsuit    | Verity    | forgetting birthdays                 |      6 | 11 April 2023     | 3763.64
       50 | Leodora Trembath     | Online      |           82.59 | Glamour     | Katherine | Infinite Hiccups                     |      0 | 21 January 2022   | 2375.73
       51 | Gregoor Pearne       | Los Angeles |          745.96 | Swimsuit    | Katherine | Superhuman Hiccup Control            |      2 | 20 October 2024   | 5348.84
       52 | Tobin Eskell         | Los Angeles |           23.65 | Fitness     | Kev       | Unlimited Laughter Generation        |      2 | 14 October 2022   | 9915.01
       53 | Eugenia McCraine     | Los Angeles |          449.59 | Glamour     | Alex      | Invisible Sneeze                     |      3 | 29 September 2022 | 1263.75
       54 | Gus Disman           | Crewe       |          519.32 | Promotional | Katherine | movie quotes                         |      1 | 11 March 2023     |  4491.6
       55 | Barbabas Biles       | Stockholm   |          694.95 | Glamour     | Katherine | Super Speed Typing                   |      3 | 21 February 2023  | 6153.47
       56 | Titus Lexa           | Crewe       |           261.3 | Fashion     | Alex      | fall asleep anywhere                 |      4 | 04 February 2024  | 6448.92
       57 | Grethel Matantsev    | London      |          876.86 | Fitness     | Kev       | Infinite Clumsiness                  |      5 | 08 June 2022      | 5558.62
       58 | Lesly Mallinar       | London      |           833.1 | Parts       | Katherine | handstands                           |      9 | 20 March 2024     | 4036.88
       59 | Agnesse Peniman      | London      |          462.78 | Commercial  | Rose      | Super Slow Motion                    |      9 | 13 June 2025      | 5597.08
       60 | Bendick Douglass     | Crewe       |          945.58 | Glamour     | Kev       | Super Ticklish Fingers               |      4 | 12 July 2023      | 1474.44
       61 | Farleigh Dunsire     | Athens      |          272.13 | Glamour     | Rose      | lucky charm                          |      7 | 04 September 2022 | 9035.74
       62 | Verena Houtby        | Online      |          348.59 | Glamour     | Christian | lucky charm                          |      2 | 27 January 2023   | 8403.66
       63 | Yetty Wildblood      | Crewe       |          261.59 | Commercial  | Alex      | double jointed thumbs                |      7 | 09 August 2022    | 5589.56
       64 | Hagan Romanini       | London      |          965.73 | Commercial  | Rose      | Uncontrollable Tickling              |      0 | 07 September 2022 | 6381.88
       65 | Coletta Jonson       | Crewe       |          267.08 | Fashion     | Christian | double jointed thumbs                |      0 | 01 September 2023 |  2414.3
       66 | Jobyna Denisevich    | Los Angeles |          462.76 | Fitness     | Kev       | freckles on nose                     |      7 | 30 March 2025     |  4860.3
       67 | Nels Jaumet          | Los Angeles |          921.94 | Glamour     | Paul      | finding loose change                 |      2 | 15 January 2024   | 3398.12
       68 | Harman Callam        | London      |          217.82 | Swimsuit    | Paul      | forgetting birthdays                 |     10 | 04 October 2022   |  5207.4
       69 | Roderick Piotrkowski | Los Angeles |          677.03 | Promotional | Rose      | Extreme Paper Cut                    |      7 | 18 January 2022   | 3370.55
       70 | Dniren Sulley        | Online      |          678.53 | Glamour     | Verity    | parallel parking                     |     10 | 30 March 2025     | 5402.89
       71 | Shanon Bodman        | London      |          596.48 | Fashion     | Kev       | finding loose change                 |      4 | 11 September 2024 | 9968.41
       72 | Keven Tanby          | Milan       |          535.66 | Fashion     | Verity    | Mildly Annoying Whistle              |      3 | 21 October 2024   | 9427.66
       73 | Filia Prest          | London      |          482.12 | Commercial  | Kev       | Unlimited Laughter Generation        |      8 | 09 April 2025     | 2174.42
       74 | Margareta Sartain    | Online      |          984.61 | Promotional | Kev       | movie quotes                         |      7 | 27 December 2024  | 9933.17
       75 | Janey Fluin          | Crewe       |          263.88 | Glamour     | Verity    | handstands                           |      1 | 02 May 2024       | 4855.92
       76 | Darill Rosenthal     | London      |          951.66 | Fitness     | Paul      | movie quotes                         |      3 | 20 April 2025     | 8437.51
       77 | Theodoric Henze      | Crewe       |           34.22 | Promotional | Alex      | lucky charm                          |      6 | 14 April 2022     |  5422.5
       78 | Delinda Raubenheim   | Crewe       |          750.85 | Swimsuit    | Verity    | handstands                           |     10 | 28 November 2023  | 9757.66
       79 | Haslett McTrustey    | London      |          961.98 | Commercial  | Alex      | Extreme Sarcasm Power                |      9 | 17 July 2024      | 3188.04
       80 | Holly Thwaites       | Milan       |          257.56 | Swimsuit    | Alex      | freckles on nose                     |      1 | 06 January 2022   | 5813.02
       81 | Georgie Sweetman     | Online      |          282.08 | Fitness     | Verity    | handstands                           |      2 | 10 April 2023     | 7200.32
       82 | Stacey Congreve      | London      |          711.79 | Promotional | Kev       | fall asleep anywhere                 |      0 | 14 May 2025       |  3232.8
       83 | Corbie Jillings      | Stockholm   |          459.55 | Fitness     | Christian | Infinite Hiccups                     |      0 | 02 August 2025    | 2907.12
       84 | Kennie Phipp         | Online      |          784.17 | Promotional | Verity    | lucky charm                          |     10 | 26 July 2025      | 5466.73
       85 | Pryce Tolotti        | Online      |          109.59 | Swimsuit    | Verity    | Super Ticklish Fingers               |      2 | 09 January 2025   | 7511.87
       86 | Marji Semorad        | Stockholm   |          335.98 | Fashion     | Rose      | Superhuman Hiccup Control            |      6 | 04 June 2022      | 9433.66
       87 | Kissie Jandel        | Milan       |          370.34 | Glamour     | Christian | Super Sticky Fingers                 |      2 | 27 June 2022      | 6101.96
       88 | Halimeda Cordeix     | Milan       |          313.71 | Commercial  | Kev       | Invisible Sneeze                     |     10 | 22 April 2023     | 8389.94
       89 | Orin Smuth           | Crewe       |          138.11 | Swimsuit    | Rose      | Super Sticky Fingers                 |      6 | 07 July 2025      |  1706.8
       90 | Constanta Teas       | Los Angeles |          698.73 | Fashion     | Kev       | Instantaneous Spoon Bending          |      3 | 23 May 2023       |  9167.1
       91 | Mano Arnecke         | Stockholm   |          372.71 | Commercial  | Katherine | perfect pitch                        |      5 | 08 June 2025      | 4715.83
