DROP DATABASE
CREATE DATABASE
You are now connected to database "topmodelsql" as user "ian".
CREATE TABLE
INSERT 0 214
 model_id |      model_name      |    area     | price_per_event |  category   |   agent   |             brand              |                trait                 | rating |  next_event_date  | revenue 
----------+----------------------+-------------+-----------------+-------------+-----------+--------------------------------+--------------------------------------+--------+-------------------+---------
        1 | Bartholomew P        | Milan       |          499.99 | Fashion     | Verity    | Louboutin, H&M                 | Pro strutter                         |      7 | 15 November 2022  | 2999.94
        2 | Notso Neat           | Online      |            9.99 | Promotional | Alex      | Aldi, Poundland                | The dadbod drop                      |      1 | 12 September 2022 |  149.85
        3 | Jarred MacKenzie     | Los Angeles |             170 | Fitness     | Paul      | Patagonia, Buff, Salomon       | Fire_eating                          |      4 | 8 January 2022    |    1530
        4 | Rathbones Arr        | London      |          263.82 | Parts       | Kev       | Adidas                         | Hand modelling                       |      5 | 6 March 2022      | 1846.74
        5 | Sarah B              | Online      |          432.25 | Promotional | Alex      | Ebay, Vinted, Instagram        | Influencer                           |      7 | 23 October 2022   |    3458
        6 | Cat Wang             | Milan       |             600 | Fashion     | Verity    | Charities                      | Catwalker                            |      8 | 14 May 2022       |    3600
        7 | Starr Schema         | Crewe       |             250 | Glamour     | Rose      | Oricle, Marks and Spencer      | Databases                            |      5 | 12 September 2022 |    1500
        8 | Sam Pagne            | Athens      |          899.99 | Swimsuit    | Katherine | Harrods, HSBC                  | Old-money                            |      9 | 20 January 2022   | 9899.89
        9 | Salle De Bain        | Stockholm   |             150 | Commercial  | Christian | Ikea, Wayfair, Amazon          | Architect                            |      3 | 16 July 2022      |    1050
       10 | Slam Dunk            | Los Angeles |          801.65 | Fitness     | Paul      | Nike, Adidas, Reebok           | High-tops                            |      9 | 23 August 2022    | 7214.85
       11 | Hannah Bee           | Milan       |             325 | Fashion     | Verity    | Chanel, Dior, Stella McCartney | Photography                          |      6 | 1 March 2022      |    1625
       12 | Rainsface W          | Athens      |             120 | Swimsuit    | Katherine | United Utilities               | Impromptu crying                     |      3 | 14 May 2022       |     480
       13 | Raul Pogerson        | Stockholm   |              50 | Commercial  | Christian | Listo Burritos                 | Messy eating                         |      2 | 12 September 2022 |     950
       14 | Ray Z                | London      |          470.68 | Parts       | Kev       | Marvel Studios                 | Card magic                           |      7 | 18 April 2022     | 5177.48
       15 | Pat Munns            | Online      |          737.96 | Fashion     | Verity    | Versace                        | Super Slow Motion                    |      9 | 07 May 2022       | 2530.35
       16 | Kasper Topling       | Los Angeles |          905.77 | Commercial  | Kev       | Ikea                           | Invisible Burping                    |      8 | 25 September 2022 | 5981.72
       17 | Ulrika MacGarvey     | London      |          142.15 | Parts       | Christian | Patagonia                      | Telepathic Yawn                      |      5 | 25 April 2022     | 7012.22
       18 | Gerrard Scorthorne   | Athens      |          377.39 | Parts       | Katherine | Salomon                        | handstands                           |      4 | 09 March 2024     | 8900.56
       19 | Haskel McKinless     | Online      |          146.77 | Parts       | Verity    | Amazon                         | Incredible Juggling Skills           |      2 | 10 October 2022   | 8915.73
       20 | Gwenni Dubarry       | Los Angeles |            73.5 | Promotional | Paul      | Versace                        | Incredible Nose Hair Growth          |     10 | 30 August 2022    | 7029.15
       21 | Booth Innocenti      | Athens      |           622.6 | Parts       | Verity    | Valentino                      | Incredible Juggling Skills           |     10 | 09 March 2022     | 6664.83
       22 | Bess Wildman         | Athens      |          105.66 | Parts       | Paul      | HSBC                           | Superhuman Lip Syncing               |      1 | 25 June 2023      | 7338.05
       23 | Miles Newgrosh       | Milan       |          968.73 | Glamour     | Rose      | Marks and Spencer              | Extreme Paper Cut                    |      3 | 30 June 2025      | 3676.74
